K,BIC,AIC,AICc,log_likelihood
2,390.6999721945041,344.77792297927687,634.7779229792768,-143.38896148963843
3,410.35127707827394,340.67644378620514,inf,-126.33822189310256
4,415.3102605979314,321.8826432290209,inf,-101.94132161451046
