feature,mean_abs_shap,importance_pct
Avg_Update_Ratio,0.04881121732855596,38.7672392634984
Avg_Demo_Ratio,0.02439380980824348,19.374248649012877
E_child_share,0.013556869126805433,10.76724609355997
Avg_Bio_Ratio,0.008127309098087086,6.454937074261874
B_adult_share,0.006917588330292405,5.494142875431618
Active_Months,0.005198274978438661,4.128615938629581
E_minor_share,0.003996545812535779,3.1741688944001347
D_adult_share,0.0033675134810669007,2.6745737555535603
E_total,0.0032520829481730903,2.5828955854131586
Total_Activity,0.0024325530191182058,1.9320019060071816
B_total,0.0023670305311615514,1.8799621064124015
D_total,0.0022545088543401487,1.7905942314359793
log_activity,0.0012331137309417985,0.9793735469604635
